cell,integration_cluster
X120703408789411_X_.N,2
X120703408793835_X_.N,8
X120703409145716_X_.N,0
X120703409339181_X_.N,1
X120703409379676_X_.N,3
X120703409407854_X_.N,13
X120703436049252_X_.N,3
X120703436154804_X_.N,2
X120703436372403_X_.N,3
X120703436647203_X_.N,8
X120726896962357_X_.N,2
X120726896989916_X_.N,4
X120726897248046_X_.N,3
X120726897408947_X_.N,4
X120726912190189_X_.N,3
X120726924249974_X_.N,6
X120726924942069_X_.N,0
X120726943128414_X_.N,3
X120726943391030_X_.N,0
X120726943558006_X_.N,1
X120772933639517_X_.N,7
X120772933663084_X_.N,7
X120772933925086_X_.N,3
X120772933933788_X_.N,7
X120772934102363_X_.N,2
X120772934453677_X_.N,1
X120772949105886_X_.N,6
X120772960836526_X_.N,0
X120772961416948_X_.N,6
X120772979703091_X_.N,13
X120772979711342_X_.N,3
X120772980043035_X_.N,4
X120786758359772_X_.N,3
X120786758364011_X_.N,0
X120786758527405_X_.N,4
X120786758580956_X_.N,4
X120786785556267_X_.N,0
X120786785590557_X_.N,2
X120786785615221_X_.N,0
X120786786040749_X_.N,0
X120797898096028_X_.N,0
X120797898139947_X_.N,6
X120797898357173_X_.N,2
X120797898402614_X_.N,1
X120797898422494_X_.N,2
X120797898861797_X_.N,2
X120797912808885_X_.N,4
X120797912844654_X_.N,2
X120797925435806_X_.N,1
X120797944237469_X_.N,0
X120797944265974_X_.N,3
X120864470321589_X_.N,0
X120864470908196_X_.N,2
X120864470919396_X_.N,8
X120864485038940_X_.N,7
X120864485039540_X_.N,4
X120864485042093_X_.N,2
X120864485522805_X_.N,2
X120864497396444_X_.N,4
X120864498112733_X_.N,2
X120864498150821_X_.N,0
X120864498175214_X_.N,3
X121202296118580_X_.N,0
X121202296436643_X_.N,0
X121202296708516_X_.N,3
X121202311117155_X_.N,2
X121202323447012_X_.N,7
X121202323712925_X_.N,1
X121202324171053_X_.N,3
X121202324172004_X_.N,13
X121202342218165_X_.N,1
X121202342320045_X_.N,0
X121202343042484_X_.N,0
X121276802226595_X_.N,3
X121276802452260_X_.N,8
X121276814473588_X_.N,0
X121276814739700_X_.N,7
X121276833089899_X_.N,4
X121276833385781_X_.N,2
X121276833642228_X_.N,0
X121319737416563_X_.N,2
X121319751629166_X_.N,7
X121319751802164_X_.N,2
X121319752165155_X_.N,6
X121319764117356_X_.N,2
X121319764121894_X_.N,8
X121319764442357_X_.N,0
X121319783261942_X_.N,2
X121319783557477_X_.N,3
X121337990499124_X_.N,6
X121338004953014_X_.N,7
X121338005175019_X_.N,7
X121338005251805_X_.N,7
X121338017570150_X_.N,1
X121338036895084_X_.N,2
X121338036959971_X_.N,7
X121339869617436_X_.N,6
X121339869808493_X_.N,0
X121339870112046_X_.N,0
X121339884005678_X_.N,6
X121339884260579_X_.N,3
X121339884727518_X_.N,7
X121339896621292_X_.N,7
X121339897298213_X_.N,2
X121339897399139_X_.N,1
X121339915910579_X_.N,0
X121339916277485_X_.N,0
