gene,sample_id,count
GENE_0356,S01,2
GENE_0233,S01,13
GENE_0232,S01,73
GENE_0160,S01,25
GENE_0049,S01,9
GENE_0245,S01,20
GENE_0130,S01,39
GENE_0477,S01,48
GENE_0054,S01,10
GENE_0427,S01,10
GENE_0349,S01,24
GENE_0018,S01,17
GENE_0207,S01,30
GENE_0282,S01,18
GENE_0298,S01,22
GENE_0004,S01,4
GENE_0241,S01,56
GENE_0265,S01,2
GENE_0249,S01,107
GENE_0126,S01,9
GENE_0385,S01,75
GENE_0310,S01,11
GENE_0276,S01,8
GENE_0070,S01,8
GENE_0306,S01,7
GENE_0201,S01,27
GENE_0075,S01,25
GENE_0239,S01,6
GENE_0172,S01,28
GENE_0417,S01,106
GENE_0318,S01,73
GENE_0029,S01,27
GENE_0475,S01,13
GENE_0071,S01,23
GENE_0347,S01,36
GENE_0350,S01,5
GENE_0033,S01,8
GENE_0021,S01,3
GENE_0437,S01,12
GENE_0037,S01,19
GENE_0452,S01,9
GENE_0492,S01,39
GENE_0423,S01,10
GENE_0001,S01,3
GENE_0309,S01,19
GENE_0317,S01,47
GENE_0044,S01,57
GENE_0209,S01,9
GENE_0228,S01,28
GENE_0030,S01,8
GENE_0058,S01,11
GENE_0164,S01,30
GENE_0022,S01,25
GENE_0038,S01,3
GENE_0372,S01,39
GENE_0100,S01,64
GENE_0119,S01,8
GENE_0146,S01,16
GENE_0148,S01,28
GENE_0322,S01,13
GENE_0389,S01,7
GENE_0390,S01,4
GENE_0420,S01,12
GENE_0066,S01,34
GENE_0279,S01,25
GENE_0090,S01,7
GENE_0129,S01,30
GENE_0205,S01,0
GENE_0125,S01,28
GENE_0453,S01,1
GENE_0473,S01,13
GENE_0367,S01,6
GENE_0304,S01,2
GENE_0122,S01,29
GENE_0032,S01,5
GENE_0208,S01,23
GENE_0012,S01,13
GENE_0335,S01,26
GENE_0321,S01,9
GENE_0360,S01,1
GENE_0111,S01,27
GENE_0079,S01,9
GENE_0373,S01,0
GENE_0144,S01,6
GENE_0155,S01,72
GENE_0196,S01,25
GENE_0302,S01,4
GENE_0254,S01,11
GENE_0461,S01,12
GENE_0454,S01,142
GENE_0237,S01,5
GENE_0383,S01,15
GENE_0206,S01,56
GENE_0355,S01,15
GENE_0320,S01,15
GENE_0183,S01,13
GENE_0188,S01,15
GENE_0230,S01,9
GENE_0378,S01,39
GENE_0406,S01,6
GENE_0213,S01,30
GENE_0008,S01,11
GENE_0293,S01,20
GENE_0496,S01,1
GENE_0348,S01,36
GENE_0104,S01,20
GENE_0313,S01,31
GENE_0081,S01,0
GENE_0289,S01,109
GENE_0212,S01,11
GENE_0476,S01,26
GENE_0359,S01,6
GENE_0068,S01,14
GENE_0399,S01,5
GENE_0216,S01,8
GENE_0305,S01,82
GENE_0048,S01,22
GENE_0366,S01,11
GENE_0112,S01,24
GENE_0133,S01,34
GENE_0005,S01,14
GENE_0169,S01,34
GENE_0495,S01,97
GENE_0200,S01,4
GENE_0445,S01,16
GENE_0248,S01,42
GENE_0264,S01,29
GENE_0351,S01,37
GENE_0137,S01,20
GENE_0274,S01,2
GENE_0120,S01,51
GENE_0152,S01,2
GENE_0250,S01,14
GENE_0326,S01,8
GENE_0386,S01,11
GENE_0052,S01,17
GENE_0398,S01,13
GENE_0365,S01,23
GENE_0281,S01,51
GENE_0440,S01,30
GENE_0202,S01,6
GENE_0134,S01,29
GENE_0027,S01,38
GENE_0460,S01,2
GENE_0247,S01,10
GENE_0231,S01,18
GENE_0061,S01,6
GENE_0286,S01,39
GENE_0162,S01,23
GENE_0270,S01,16
GENE_0157,S01,8
GENE_0315,S01,24
GENE_0062,S01,4
GENE_0244,S01,0
GENE_0123,S01,52
GENE_0470,S01,5
GENE_0462,S01,3
GENE_0284,S01,1
GENE_0025,S01,5
GENE_0221,S01,8
GENE_0189,S01,82
GENE_0334,S01,32
