cell,cell_type,sample_type
X120703408789411.N,Pro-angiogenesis Macrophage,N
X120703408793835.N,Non Blood Cell,N
X120703409145716.N,Effector/Memory CD4+ T cells,N
X120703409339181.N,MAIT cells,N
X120703409379676.N,Pro-angiogenesis Macrophage,N
X120703409407854.N,Lung Cancer Cell,N
X120703436049252.N,Pro-angiogenesis Macrophage,N
X120703436154804.N,Pro-angiogenesis Macrophage,N
X120703436372403.N,Pro-angiogenesis Macrophage,N
X120703436647203.N,Lung Cancer Cell,N
X120726896962357.N,Pro-angiogenesis Macrophage,N
X120726896989916.N,Pro-angiogenesis Macrophage,N
X120726897248046.N,Pro-angiogenesis Macrophage,N
X120726897408947.N,Macrophage,N
X120726912190189.N,Pro-angiogenesis Macrophage,N
X120726924249974.N,Natural killer cell,N
X120726924942069.N,Effector/Memory CD4+ T cells,N
X120726943128414.N,Pro-angiogenesis Macrophage,N
X120726943391030.N,Natural killer cell,N
X120726943558006.N,Effector/Memory CD8+ T cells,N
X120772933639517.N,Pro-angiogenesis Macrophage,N
X120772933663084.N,Pro-inflammatory Macrophage,N
X120772933925086.N,Pro-angiogenesis Macrophage,N
X120772933933788.N,Pro-angiogenesis Macrophage,N
X120772934102363.N,Pro-angiogenesis Macrophage,N
X120772934453677.N,Effector/Memory CD4+ T cells,N
X120772949105886.N,Natural killer cell,N
X120772960836526.N,Effector/Memory CD4+ T cells,N
X120772961416948.N,Natural killer cell,N
X120772979703091.N,Lung Cancer Cell,N
X120772979711342.N,Pro-angiogenesis Macrophage,N
X120772980043035.N,Pro-angiogenesis Macrophage,N
X120786758359772.N,Pro-angiogenesis Macrophage,N
X120786758364011.N,T or NK Cell,N
X120786758527405.N,Macrophage,N
X120786758580956.N,Macrophage,N
X120786785556267.N,Pro-angiogenesis Macrophage,N
X120786785590557.N,Pro-angiogenesis Macrophage,N
X120786785615221.N,Blood Cell,N
X120786786040749.N,Blood Cell,N
X120797898096028.N,Effector/Memory CD4+ T cells,N
X120797898139947.N,Natural killer cell,N
X120797898357173.N,Pro-angiogenesis Macrophage,N
X120797898402614.N,CD4 or CD8 T cell,N
X120797898422494.N,Pro-angiogenesis Macrophage,N
X120797898861797.N,Pro-angiogenesis Macrophage,N
X120797912808885.N,Pro-angiogenesis Macrophage,N
X120797912844654.N,Phagocytosis Macrophage,N
X120797925435806.N,Effector/Memory CD8+ T cells,N
X120797944237469.N,Blood Cell,N
X120797944265974.N,Pro-angiogenesis Macrophage,N
X120864470321589.N,Effector/Memory CD4+ T cells,N
X120864470908196.N,Pro-angiogenesis Macrophage,N
X120864470919396.N,Non Blood Cell,N
X120864485038940.N,Pro-angiogenesis Macrophage,N
X120864485039540.N,Pro-angiogenesis Macrophage,N
X120864485042093.N,Pro-angiogenesis Macrophage,N
X120864485522805.N,Pro-angiogenesis Macrophage,N
X120864497396444.N,Phagocytosis Macrophage,N
X120864498112733.N,Pro-angiogenesis Macrophage,N
X120864498150821.N,Effector/Memory CD4+ T cells,N
X120864498175214.N,Pro-angiogenesis Macrophage,N
X121202296118580.N,Effector/Memory CD8+ T cells,N
X121202296436643.N,Blood Cell,N
X121202296708516.N,Pro-angiogenesis Macrophage,N
X121202311117155.N,Pro-angiogenesis Macrophage,N
X121202323447012.N,Macrophage,N
X121202323712925.N,CD8 T or NK cell,N
X121202324171053.N,Pro-angiogenesis Macrophage,N
X121202324172004.N,Lung Cancer Cell,N
X121202342218165.N,Effector/Memory CD4+ T cells,N
X121202342320045.N,Effector/Memory CD4+ T cells,N
X121202343042484.N,Effector/Memory CD4+ T cells,N
X121276802226595.N,Pro-angiogenesis Macrophage,N
X121276802452260.N,Normal Fibroblast,N
X121276814473588.N,Effector/Memory CD8+ T cells,N
X121276814739700.N,Pro-angiogenesis Macrophage,N
X121276833089899.N,Macrophage,N
X121276833385781.N,Pro-angiogenesis Macrophage,N
X121276833642228.N,Effector/Memory CD4+ T cells,N
X121319737416563.N,Pro-angiogenesis Macrophage,N
X121319751629166.N,Macrophage,N
X121319751802164.N,Pro-angiogenesis Macrophage,N
X121319752165155.N,Natural killer cell,N
X121319764117356.N,Phagocytosis Macrophage,N
X121319764121894.N,Lung Cancer Cell,N
X121319764442357.N,Blood Cell,N
X121319783261942.N,Pro-angiogenesis Macrophage,N
X121319783557477.N,Pro-angiogenesis Macrophage,N
X121337990499124.N,Natural killer cell,N
X121338004953014.N,Macrophage,N
X121338005175019.N,Pro-angiogenesis Macrophage,N
X121338005251805.N,Macrophage,N
X121338017570150.N,Effector/Memory CD8+ T cells,N
X121338036895084.N,Pro-angiogenesis Macrophage,N
X121338036959971.N,Macrophage,N
X121339869617436.N,Natural killer cell,N
X121339869808493.N,Blood Cell,N
X121339870112046.N,Blood Cell,N
X121339884005678.N,Natural killer cell,N
X121339884260579.N,Pro-angiogenesis Macrophage,N
X121339884727518.N,Pro-inflammatory Macrophage,N
X121339896621292.N,Pro-angiogenesis Macrophage,N
X121339897298213.N,Pro-angiogenesis Macrophage,N
X121339897399139.N,Effector/Memory CD4+ T cells,N
X121339915910579.N,Blood Cell,N
X121339916277485.N,Effector/Memory CD4+ T cells,N
X121742656976742.N,Pro-angiogenesis Macrophage,N
X121742657476395.N,Pro-angiogenesis Macrophage,N
X121742671402934.N,Effector/Memory CD4+ T cells,N
X121742671404340.N,Pro-angiogenesis Macrophage,N
X121742671595380.N,Effector/Memory CD4+ T cells,N
X121742672161131.N,Macrophage,N
X121742702799668.N,Pro-angiogenesis Macrophage,N
X121742703316275.N,Macrophage,N
X121742703585118.N,Pro-angiogenesis Macrophage,N
X121742703614363.N,Pro-angiogenesis Macrophage,N
X121812477405044.N,Pro-angiogenesis Macrophage,N
X121812477431198.N,Effector/Memory CD4+ T cells,N
X121812496629164.N,Natural killer cell,N
X121812496832734.N,Phagocytosis Macrophage,N
X121826140342709.N,Pro-angiogenesis Macrophage,N
X121826140940590.N,Effector/Memory CD4+ T cells,N
X121826155116899.N,Macrophage,N
X121826155583733.N,Pro-inflammatory Macrophage,N
X121826167613790.N,Pro-angiogenesis Macrophage,N
X121826186225382.N,Effector/Memory CD8+ T cells,N
X121826186251677.N,Pro-angiogenesis Macrophage,N
X121879156386219.N,Macrophage,N
X121879156701557.N,Effector/Memory CD4+ T cells,N
X121879156968669.N,Pro-angiogenesis Macrophage,N
X121879170865501.N,Pro-angiogenesis Macrophage,N
X121879171124012.N,Pro-angiogenesis Macrophage,N
X121879171549492.N,Pro-angiogenesis Macrophage,N
X121879171614646.N,Effector/Memory CD4+ T cells,N
X121879183969500.N,Pro-angiogenesis Macrophage,N
X121896082781939.N,Pro-angiogenesis Macrophage,N
X121896082983332.N,Any Cell,N
X121896094882726.N,Pro-angiogenesis Macrophage,N
X121896095333101.N,Effector/Memory CD4+ T cells,N
X121896095570732.N,Effector/Memory CD4+ T cells,N
X121896095636766.N,Effector/Memory CD4+ T cells,N
X121896113727723.N,Pro-angiogenesis Macrophage,N
X121896113920796.N,Natural killer cell,N
