integration_cluster,cell_type,count
0,Blood Cell,97
0,CD4 or CD8 T cell,12
0,CD4+ T cell,3
0,CD8 T or NK cell,3
0,CD8+ T cell,2
0,Effector/Memory CD4+ T cells,463
0,Effector/Memory CD8+ T cells,34
0,Endothelial Cells,1
0,Lung Cancer Cell,2
0,Macrophage,1
0,Macrophage or Dendritic Cell,1
0,Naive CD4+ T cells,41
0,Natural killer cell,5
0,Pro-angiogenesis Macrophage,5
0,T or NK Cell,7
0,T regulatory cells,5
1,Blood Cell,2
1,CD4 or CD8 T cell,30
1,CD8 T or NK cell,24
1,Effector/Memory CD4+ T cells,129
1,Effector/Memory CD8+ T cells,177
1,MAIT cells,2
1,Natural killer cell,26
1,T or NK Cell,3
2,Macrophage,23
2,Phagocytosis Macrophage,27
2,Pro-angiogenesis Macrophage,836
3,Macrophage,9
3,Pro-angiogenesis Macrophage,725
4,Any Cell,4
4,Blood Cell,20
4,Effector/Memory CD4+ T cells,1
4,Effector/Memory CD8+ T cells,2
4,Macrophage,128
4,Naive CD4+ T cells,22
4,Natural killer cell,3
4,Phagocytosis Macrophage,19
4,Pro-angiogenesis Macrophage,167
5,Blood Cell,16
5,Macrophage,2
5,Pro-angiogenesis Macrophage,9
6,CD8 T or NK cell,3
6,Effector/Memory CD8+ T cells,3
6,Natural killer cell,370
6,Pro-angiogenesis Macrophage,1
7,Macrophage,85
7,Pro-angiogenesis Macrophage,106
7,Pro-inflammatory Macrophage,55
8,Any Cell,12
8,CAFadi,6
8,CAFinfla,3
8,Cancer Associated Fibroblasts,1
8,Endothelial Cells,7
8,Lung Cancer Cell,59
8,Macrophage,1
8,Non Blood Cell,18
8,Non Stromal Cell,1
8,Normal Fibroblast,21
8,Phagocytosis Macrophage,1
8,Pro-angiogenesis Macrophage,3
8,Stromal Cell,7
9,Blood Cell,1
9,CD4+ T cell,1
9,Effector/Memory CD4+ T cells,1
9,Natural killer cell,3
9,Pro-angiogenesis Macrophage,31
10,CAFadi,1
10,Normal Fibroblast,1
10,Stromal Cell,2
11,LAMP3 cDC,6
11,Macrophage,2
11,Macrophage or Dendritic Cell,5
11,Phagocytosis Macrophage,2
11,Pro-angiogenesis Macrophage,6
11,cDC1,10
11,cDC2,15
12,Endothelial Cells,27
13,CAFadi,1
13,Lung Cancer Cell,61
13,Non Blood Cell,2
14,Blood Cell,1
14,Mast cell,10
15,pDC,21
