cell,integration_cluster,cell_type,sample_type
X120703408789411.N,2,Pro-angiogenesis Macrophage,N
X120703408793835.N,8,Non Blood Cell,N
X120703409145716.N,0,Effector/Memory CD4+ T cells,N
X120703409339181.N,1,MAIT cells,N
X120703409379676.N,3,Pro-angiogenesis Macrophage,N
X120703409407854.N,13,Lung Cancer Cell,N
X120703436049252.N,3,Pro-angiogenesis Macrophage,N
X120703436154804.N,2,Pro-angiogenesis Macrophage,N
X120703436372403.N,3,Pro-angiogenesis Macrophage,N
X120703436647203.N,8,Lung Cancer Cell,N
X120726896962357.N,2,Pro-angiogenesis Macrophage,N
X120726896989916.N,4,Pro-angiogenesis Macrophage,N
X120726897248046.N,3,Pro-angiogenesis Macrophage,N
X120726897408947.N,4,Macrophage,N
X120726912190189.N,3,Pro-angiogenesis Macrophage,N
X120726924249974.N,6,Natural killer cell,N
X120726924942069.N,0,Effector/Memory CD4+ T cells,N
X120726943128414.N,3,Pro-angiogenesis Macrophage,N
X120726943391030.N,0,Natural killer cell,N
X120726943558006.N,1,Effector/Memory CD8+ T cells,N
X120772933639517.N,7,Pro-angiogenesis Macrophage,N
X120772933663084.N,7,Pro-inflammatory Macrophage,N
X120772933925086.N,3,Pro-angiogenesis Macrophage,N
X120772933933788.N,7,Pro-angiogenesis Macrophage,N
X120772934102363.N,2,Pro-angiogenesis Macrophage,N
X120772934453677.N,1,Effector/Memory CD4+ T cells,N
X120772949105886.N,6,Natural killer cell,N
X120772960836526.N,0,Effector/Memory CD4+ T cells,N
X120772961416948.N,6,Natural killer cell,N
X120772979703091.N,13,Lung Cancer Cell,N
X120772979711342.N,3,Pro-angiogenesis Macrophage,N
X120772980043035.N,4,Pro-angiogenesis Macrophage,N
X120786758359772.N,3,Pro-angiogenesis Macrophage,N
X120786758364011.N,0,T or NK Cell,N
X120786758527405.N,4,Macrophage,N
X120786758580956.N,4,Macrophage,N
X120786785556267.N,0,Pro-angiogenesis Macrophage,N
X120786785590557.N,2,Pro-angiogenesis Macrophage,N
X120786785615221.N,0,Blood Cell,N
X120786786040749.N,0,Blood Cell,N
X120797898096028.N,0,Effector/Memory CD4+ T cells,N
X120797898139947.N,6,Natural killer cell,N
X120797898357173.N,2,Pro-angiogenesis Macrophage,N
X120797898402614.N,1,CD4 or CD8 T cell,N
X120797898422494.N,2,Pro-angiogenesis Macrophage,N
X120797898861797.N,2,Pro-angiogenesis Macrophage,N
X120797912808885.N,4,Pro-angiogenesis Macrophage,N
X120797912844654.N,2,Phagocytosis Macrophage,N
X120797925435806.N,1,Effector/Memory CD8+ T cells,N
X120797944237469.N,0,Blood Cell,N
X120797944265974.N,3,Pro-angiogenesis Macrophage,N
X120864470321589.N,0,Effector/Memory CD4+ T cells,N
X120864470908196.N,2,Pro-angiogenesis Macrophage,N
X120864470919396.N,8,Non Blood Cell,N
X120864485038940.N,7,Pro-angiogenesis Macrophage,N
X120864485039540.N,4,Pro-angiogenesis Macrophage,N
X120864485042093.N,2,Pro-angiogenesis Macrophage,N
X120864485522805.N,2,Pro-angiogenesis Macrophage,N
X120864497396444.N,4,Phagocytosis Macrophage,N
X120864498112733.N,2,Pro-angiogenesis Macrophage,N
X120864498150821.N,0,Effector/Memory CD4+ T cells,N
X120864498175214.N,3,Pro-angiogenesis Macrophage,N
X121202296118580.N,0,Effector/Memory CD8+ T cells,N
X121202296436643.N,0,Blood Cell,N
X121202296708516.N,3,Pro-angiogenesis Macrophage,N
X121202311117155.N,2,Pro-angiogenesis Macrophage,N
X121202323447012.N,7,Macrophage,N
X121202323712925.N,1,CD8 T or NK cell,N
X121202324171053.N,3,Pro-angiogenesis Macrophage,N
X121202324172004.N,13,Lung Cancer Cell,N
X121202342218165.N,1,Effector/Memory CD4+ T cells,N
X121202342320045.N,0,Effector/Memory CD4+ T cells,N
X121202343042484.N,0,Effector/Memory CD4+ T cells,N
X121276802226595.N,3,Pro-angiogenesis Macrophage,N
X121276802452260.N,8,Normal Fibroblast,N
X121276814473588.N,0,Effector/Memory CD8+ T cells,N
X121276814739700.N,7,Pro-angiogenesis Macrophage,N
X121276833089899.N,4,Macrophage,N
X121276833385781.N,2,Pro-angiogenesis Macrophage,N
X121276833642228.N,0,Effector/Memory CD4+ T cells,N
X121319737416563.N,2,Pro-angiogenesis Macrophage,N
X121319751629166.N,7,Macrophage,N
X121319751802164.N,2,Pro-angiogenesis Macrophage,N
X121319752165155.N,6,Natural killer cell,N
X121319764117356.N,2,Phagocytosis Macrophage,N
X121319764121894.N,8,Lung Cancer Cell,N
X121319764442357.N,0,Blood Cell,N
X121319783261942.N,2,Pro-angiogenesis Macrophage,N
X121319783557477.N,3,Pro-angiogenesis Macrophage,N
X121337990499124.N,6,Natural killer cell,N
X121338004953014.N,7,Macrophage,N
X121338005175019.N,7,Pro-angiogenesis Macrophage,N
X121338005251805.N,7,Macrophage,N
X121338017570150.N,1,Effector/Memory CD8+ T cells,N
X121338036895084.N,2,Pro-angiogenesis Macrophage,N
X121338036959971.N,7,Macrophage,N
X121339869617436.N,6,Natural killer cell,N
X121339869808493.N,0,Blood Cell,N
X121339870112046.N,0,Blood Cell,N
X121339884005678.N,6,Natural killer cell,N
X121339884260579.N,3,Pro-angiogenesis Macrophage,N
X121339884727518.N,7,Pro-inflammatory Macrophage,N
X121339896621292.N,7,Pro-angiogenesis Macrophage,N
X121339897298213.N,2,Pro-angiogenesis Macrophage,N
X121339897399139.N,1,Effector/Memory CD4+ T cells,N
X121339915910579.N,0,Blood Cell,N
X121339916277485.N,0,Effector/Memory CD4+ T cells,N
X121742656976742.N,3,Pro-angiogenesis Macrophage,N
X121742657476395.N,3,Pro-angiogenesis Macrophage,N
X121742671402934.N,0,Effector/Memory CD4+ T cells,N
X121742671404340.N,3,Pro-angiogenesis Macrophage,N
X121742671595380.N,1,Effector/Memory CD4+ T cells,N
X121742672161131.N,4,Macrophage,N
X121742702799668.N,3,Pro-angiogenesis Macrophage,N
X121742703316275.N,7,Macrophage,N
X121742703585118.N,5,Pro-angiogenesis Macrophage,N
X121742703614363.N,3,Pro-angiogenesis Macrophage,N
X121812477405044.N,3,Pro-angiogenesis Macrophage,N
X121812477431198.N,0,Effector/Memory CD4+ T cells,N
X121812496629164.N,6,Natural killer cell,N
X121812496832734.N,4,Phagocytosis Macrophage,N
X121826140342709.N,2,Pro-angiogenesis Macrophage,N
X121826140940590.N,0,Effector/Memory CD4+ T cells,N
X121826155116899.N,4,Macrophage,N
X121826155583733.N,7,Pro-inflammatory Macrophage,N
X121826167613790.N,2,Pro-angiogenesis Macrophage,N
X121826186225382.N,1,Effector/Memory CD8+ T cells,N
X121826186251677.N,3,Pro-angiogenesis Macrophage,N
X121879156386219.N,4,Macrophage,N
