cell_id,gene,count,sample_id,cluster
CELL_0000,GENE_0051,27,S06,Cluster_5
CELL_0000,GENE_0295,6,S06,Cluster_5
CELL_0000,GENE_0338,3,S06,Cluster_5
CELL_0000,GENE_0064,33,S06,Cluster_5
CELL_0000,GENE_0041,6,S06,Cluster_5
CELL_0000,GENE_0332,8,S06,Cluster_5
CELL_0000,GENE_0202,6,S06,Cluster_5
CELL_0000,GENE_0283,20,S06,Cluster_5
CELL_0000,GENE_0004,6,S06,Cluster_5
CELL_0000,GENE_0176,3,S06,Cluster_5
CELL_0000,GENE_0458,8,S06,Cluster_5
CELL_0000,GENE_0392,21,S06,Cluster_5
CELL_0000,GENE_0148,29,S06,Cluster_5
CELL_0000,GENE_0221,8,S06,Cluster_5
CELL_0000,GENE_0433,6,S06,Cluster_5
CELL_0000,GENE_0255,7,S06,Cluster_5
CELL_0000,GENE_0475,4,S06,Cluster_5
CELL_0000,GENE_0410,5,S06,Cluster_5
CELL_0000,GENE_0361,22,S06,Cluster_5
CELL_0000,GENE_0106,8,S06,Cluster_5
CELL_0000,GENE_0155,3,S06,Cluster_5
CELL_0000,GENE_0454,5,S06,Cluster_5
CELL_0000,GENE_0119,16,S06,Cluster_5
CELL_0000,GENE_0008,8,S06,Cluster_5
CELL_0000,GENE_0161,19,S06,Cluster_5
CELL_0000,GENE_0158,7,S06,Cluster_5
CELL_0000,GENE_0145,7,S06,Cluster_5
CELL_0000,GENE_0259,1,S06,Cluster_5
CELL_0000,GENE_0387,11,S06,Cluster_5
CELL_0000,GENE_0017,15,S06,Cluster_5
CELL_0000,GENE_0373,3,S06,Cluster_5
CELL_0000,GENE_0122,4,S06,Cluster_5
CELL_0000,GENE_0251,6,S06,Cluster_5
CELL_0000,GENE_0146,17,S06,Cluster_5
CELL_0000,GENE_0134,4,S06,Cluster_5
CELL_0000,GENE_0150,2,S06,Cluster_5
CELL_0000,GENE_0194,3,S06,Cluster_5
CELL_0000,GENE_0439,2,S06,Cluster_5
CELL_0000,GENE_0354,5,S06,Cluster_5
CELL_0001,GENE_0087,5,S02,Cluster_1
CELL_0001,GENE_0388,5,S02,Cluster_1
CELL_0001,GENE_0287,5,S02,Cluster_1
CELL_0001,GENE_0282,12,S02,Cluster_1
CELL_0001,GENE_0275,14,S02,Cluster_1
CELL_0001,GENE_0041,8,S02,Cluster_1
CELL_0001,GENE_0457,1,S02,Cluster_1
CELL_0001,GENE_0375,3,S02,Cluster_1
CELL_0001,GENE_0251,2,S02,Cluster_1
CELL_0001,GENE_0032,3,S02,Cluster_1
CELL_0001,GENE_0080,3,S02,Cluster_1
CELL_0001,GENE_0290,6,S02,Cluster_1
