chr,start,end,peak_id,score
chr1,501104,502286,peak_04189,89
chr1,512956,514139,peak_03599,686
chr1,513114,513587,peak_02438,238
chr1,537307,538584,peak_00663,686
chr1,539569,540315,peak_00569,587
chr1,563499,565139,peak_01536,911
chr1,567355,568577,peak_01935,594
chr1,567859,569728,peak_02906,503
chr1,568331,568828,peak_00528,300
chr1,568823,569330,peak_01013,498
chr1,569449,569879,peak_00136,311
chr1,575163,575525,peak_00601,459
chr1,577259,577587,peak_00485,810
chr1,579517,580969,peak_01235,41
chr1,581579,583297,peak_04947,906
chr1,588454,589545,peak_01145,910
chr1,591513,592682,peak_04106,555
chr1,611201,612355,peak_01268,312
chr1,637927,638511,peak_01590,292
chr1,652866,653695,peak_01784,120
chr1,659557,660274,peak_01833,948
chr1,659981,660223,peak_00895,800
chr1,661794,662131,peak_00771,642
chr1,674490,675959,peak_01607,472
chr1,678491,678993,peak_01152,524
chr1,682449,682816,peak_00334,287
chr1,694554,696077,peak_01824,138
chr1,701156,702877,peak_02980,262
chr1,706813,708527,peak_03239,94
chr1,717848,719020,peak_03353,56
chr1,720280,720420,peak_01764,433
chr1,729975,730568,peak_04990,131
chr1,746710,747977,peak_03125,646
chr1,750043,751531,peak_04849,221
chr1,753661,754927,peak_04132,67
chr1,758196,759744,peak_02824,806
chr1,763623,765406,peak_03045,552
chr1,764778,766108,peak_01988,522
chr1,767827,768459,peak_01067,939
chr1,773229,773917,peak_01805,408
chr1,781887,783139,peak_04585,557
chr1,781956,782086,peak_04462,281
chr1,784903,786630,peak_01616,992
chr1,824388,824890,peak_03742,876
chr1,843446,845008,peak_00228,34
chr1,851220,852046,peak_02248,995
chr1,903675,904391,peak_01599,886
chr1,915006,916465,peak_01571,914
chr1,918741,919513,peak_03908,23
chr1,920541,921759,peak_04683,408
chr1,923165,924220,peak_00809,758
chr1,943396,944009,peak_00561,25
chr1,947164,948571,peak_03230,979
chr1,961824,962447,peak_03904,552
chr1,968620,969967,peak_01518,421
chr1,970919,971025,peak_00914,798
chr1,976487,977714,peak_01793,637
chr1,982182,982620,peak_02909,960
chr1,1014218,1014351,peak_03322,867
chr1,1018837,1019861,peak_03857,223
chr1,1030088,1030472,peak_01526,564
chr1,1036267,1037673,peak_01743,964
chr1,1045139,1046338,peak_00122,270
chr1,1051334,1052947,peak_00862,612
chr1,1055229,1057225,peak_02117,940
chr1,1067760,1068860,peak_02815,425
chr1,1101660,1102497,peak_00317,266
chr1,1108918,1110466,peak_03121,431
chr1,1110574,1111350,peak_02439,444
chr1,1113550,1114999,peak_04144,929
chr1,1142021,1142988,peak_02264,299
chr1,1144161,1145426,peak_01876,261
chr1,1159961,1161958,peak_01621,536
chr1,1191381,1192055,peak_01359,932
chr1,1206669,1207263,peak_02325,646
chr1,1211864,1212900,peak_02661,242
chr1,1217599,1218029,peak_02177,928
chr1,1228278,1229505,peak_04384,574
chr1,1231483,1232328,peak_00779,873
chr1,1241556,1242509,peak_02395,588
chr1,1244244,1244368,peak_04839,412
chr1,1250684,1252344,peak_01822,881
chr1,1252836,1253175,peak_02417,746
chr1,1253065,1253886,peak_04834,639
chr1,1259022,1259585,peak_03084,687
chr1,1261392,1262896,peak_02201,777
chr1,1271032,1271796,peak_03747,974
chr1,1280966,1281197,peak_00927,19
chr1,1292275,1292454,peak_04771,480
chr1,1292492,1293280,peak_03269,921
chr1,1293085,1293595,peak_01384,824
chr1,1311272,1312416,peak_04915,607
chr1,1313163,1314772,peak_00323,440
chr1,1325076,1325461,peak_04736,675
chr1,1337256,1338396,peak_00981,143
chr1,1341992,1343938,peak_04765,174
chr1,1344101,1345497,peak_02557,954
chr1,1347926,1348420,peak_04415,427
chr1,1354434,1354724,peak_04578,644
chr1,1367205,1367778,peak_04690,548
chr1,1369806,1371387,peak_03518,816
chr1,1371760,1371955,peak_02920,388
chr1,1379179,1379589,peak_03774,724
chr1,1386825,1387482,peak_00769,524
chr1,1424326,1425835,peak_01788,91
chr1,1424878,1425445,peak_00453,824
chr1,1432256,1434054,peak_00066,526
chr1,1433819,1434303,peak_04125,632
chr1,1435674,1437629,peak_00162,215
chr1,1438905,1440752,peak_01338,52
chr1,1442433,1444195,peak_02482,447
chr1,1457999,1458594,peak_01602,520
chr1,1473913,1474919,peak_04706,446
chr1,1475774,1477380,peak_01786,202
chr1,1480501,1480748,peak_00277,237
chr1,1496002,1497081,peak_03925,610
chr1,1530938,1531581,peak_02930,224
chr1,1531584,1532761,peak_04727,245
chr1,1553425,1553690,peak_00714,754
chr1,1583331,1584272,peak_01201,732
chr1,1593776,1594711,peak_02963,321
chr1,1603355,1603885,peak_03482,794
chr1,1614009,1615056,peak_01031,192
chr1,1614042,1616030,peak_03880,586
chr1,1634534,1634643,peak_01104,502
chr1,1638287,1639143,peak_02404,74
chr1,1639561,1640373,peak_04387,951
chr1,1646680,1647484,peak_00040,893
chr1,1651486,1652993,peak_02719,955
chr1,1652045,1653228,peak_03291,483
chr1,1655496,1655938,peak_03949,301
chr1,1666776,1667260,peak_01184,857
chr1,1673345,1674105,peak_01825,344
chr1,1694645,1695599,peak_02984,154
chr1,1704560,1705583,peak_01344,272
chr1,1715845,1717067,peak_02580,313
chr1,1716994,1717171,peak_02023,293
chr1,1725257,1725689,peak_00810,926
chr1,1725446,1727378,peak_04865,915
chr1,1732654,1733618,peak_04269,557
chr1,1736746,1737025,peak_01083,292
chr1,1749934,1750842,peak_02277,689
chr1,1770482,1772100,peak_00037,999
chr1,1786262,1787690,peak_01984,510
chr1,1791873,1793145,peak_04798,243
chr1,1795716,1797377,peak_03656,176
chr1,1800794,1801364,peak_04948,103
chr1,1803016,1804678,peak_03851,770
chr1,1805297,1806319,peak_01970,483
chr1,1812397,1813572,peak_03433,113
chr1,1820321,1821561,peak_00438,354
chr1,1849447,1850887,peak_04790,21
chr1,1887423,1888700,peak_00974,53
chr1,1900131,1900733,peak_01648,219
chr1,1904459,1905576,peak_04109,989
chr1,1908727,1909001,peak_03188,618
chr1,1924144,1924395,peak_03907,933
chr1,1951759,1953677,peak_03816,13
chr1,1954230,1955656,peak_03053,911
chr1,1961488,1963187,peak_02119,171
chr1,1963832,1965129,peak_01523,403
chr1,1970325,1971349,peak_02353,639
chr1,1970845,1971115,peak_04167,583
chr1,1982732,1982874,peak_02496,99
chr1,1988015,1988431,peak_03760,426
chr1,1997035,1998581,peak_02300,873
chr1,2008826,2010519,peak_01223,91
chr1,2016244,2016806,peak_03027,688
chr1,2026684,2028428,peak_01877,987
chr1,2033958,2035711,peak_01393,924
chr1,2034534,2035381,peak_00078,631
chr1,2035230,2036612,peak_00494,543
chr1,2036220,2037360,peak_04855,556
chr1,2041278,2042446,peak_01102,38
chr1,2041379,2042972,peak_04621,188
chr1,2050218,2051927,peak_04793,394
chr1,2080213,2081398,peak_03659,803
chr1,2080579,2081181,peak_00539,205
chr1,2093169,2094134,peak_03240,631
chr1,2093242,2094740,peak_03641,533
chr1,2098058,2098492,peak_02642,771
chr1,2134084,2134786,peak_02039,108
chr1,2138906,2139603,peak_00557,619
chr1,2152407,2152660,peak_03614,743
chr1,2157438,2158814,peak_03710,835
chr1,2160298,2160604,peak_00738,537
chr1,2166464,2168054,peak_04508,160
chr1,2179306,2179539,peak_01663,769
chr1,2201179,2202317,peak_00630,984
chr1,2212865,2214825,peak_00245,299
chr1,2216358,2217968,peak_04556,871
chr1,2237370,2239091,peak_00837,528
chr1,2247474,2248996,peak_02953,245
chr1,2255668,2257225,peak_03241,553
chr1,2270204,2271039,peak_03114,308
chr1,2276010,2277992,peak_04858,283
chr1,2287066,2287394,peak_03238,510
chr1,2287783,2288245,peak_02409,526
chr1,2299072,2299710,peak_02367,665
chr1,2315978,2316475,peak_02236,424
chr1,2315984,2316455,peak_03092,202
chr1,2324194,2324763,peak_00846,70
chr1,2336451,2338179,peak_04202,272
chr1,2338436,2338925,peak_04862,852
chr1,2345776,2347020,peak_04600,993
chr1,2364843,2365282,peak_04548,860
chr1,2366058,2367575,peak_03765,376
chr1,2367041,2368609,peak_02596,141
chr1,2371438,2373290,peak_02764,940
chr1,2371920,2372687,peak_01153,374
chr1,2379097,2381017,peak_01000,221
chr1,2403051,2403558,peak_03858,210
chr1,2419563,2420476,peak_03398,187
chr1,2420551,2420795,peak_03607,723
chr1,2431292,2432594,peak_02801,396
chr1,2438936,2440108,peak_02674,695
chr1,2445126,2445286,peak_03064,63
chr1,2447828,2449057,peak_01169,634
chr1,2447961,2449215,peak_02519,678
chr1,2466084,2467948,peak_00715,901
chr1,2483914,2484981,peak_03105,912
chr1,2484387,2484802,peak_04806,228
chr1,2510440,2510977,peak_02734,42
chr1,2518113,2519079,peak_01156,656
chr1,2524006,2524941,peak_01509,625
chr1,2534715,2536410,peak_01460,782
chr1,2536711,2537228,peak_02804,709
chr1,2552078,2553980,peak_02939,325
chr1,2554716,2555020,peak_02042,813
chr1,2558345,2560096,peak_02894,496
chr1,2558550,2560099,peak_02866,823
chr1,2588137,2589404,peak_00993,212
chr1,2592153,2593374,peak_01206,923
chr1,2593559,2594724,peak_04169,552
chr1,2596289,2597465,peak_01335,822
chr1,2623992,2624381,peak_01221,126
chr1,2630697,2632232,peak_03971,209
chr1,2647019,2648009,peak_01094,668
chr1,2664637,2665735,peak_01898,860
chr1,2686320,2687603,peak_01540,204
chr1,2686386,2687942,peak_01966,570
chr1,2686540,2687735,peak_01492,599
chr1,2695786,2696962,peak_00167,705
chr1,2700837,2701524,peak_01589,641
chr1,2725366,2726016,peak_02077,772
chr1,2727887,2729132,peak_04816,937
chr1,2730488,2732435,peak_04587,434
chr1,2745057,2746594,peak_01818,58
chr1,2747416,2748104,peak_04283,326
chr1,2749341,2749604,peak_04971,754
chr1,2749595,2751125,peak_03287,924
chr1,2769093,2770338,peak_01115,697
chr1,2770479,2771489,peak_04041,78
chr1,2785328,2785699,peak_04702,781
chr1,2786096,2787856,peak_02446,235
chr1,2801438,2802760,peak_00661,18
chr1,2806543,2807383,peak_04868,217
chr1,2825383,2826101,peak_00090,114
chr1,2830882,2832616,peak_03681,713
chr1,2831951,2832790,peak_03293,790
chr1,2851977,2853659,peak_02660,133
chr1,2861876,2862214,peak_04075,896
chr1,2894244,2895038,peak_02966,586
chr1,2902413,2904271,peak_00524,586
chr1,2920385,2922316,peak_00489,73
chr1,2927204,2928936,peak_01244,850
chr1,2939268,2940484,peak_03799,595
chr1,2948317,2950254,peak_04772,152
chr1,2951853,2952350,peak_03371,598
chr1,2963620,2963722,peak_01537,717
chr1,2965413,2965628,peak_04248,975
chr1,2968585,2969543,peak_00962,45
chr1,2985968,2987056,peak_03849,634
chr1,2994471,2995155,peak_00728,295
chr1,2997136,2999028,peak_04658,608
chr1,3000824,3001747,peak_01750,903
chr1,3006012,3007832,peak_00855,82
chr1,3006866,3008705,peak_03453,596
chr1,3030400,3031886,peak_03711,200
chr1,3033008,3033721,peak_01200,831
chr1,3050352,3051479,peak_04628,166
chr1,3065337,3067159,peak_00348,133
chr1,3067456,3068314,peak_00085,907
chr1,3068904,3070719,peak_04062,637
chr1,3086841,3087853,peak_00449,832
chr1,3088403,3090056,peak_01513,874
chr1,3101985,3102452,peak_00238,719
chr1,3106568,3108489,peak_03552,557
chr1,3118268,3118951,peak_04398,564
chr1,3122100,3122973,peak_01148,680
chr1,3126445,3127365,peak_01946,612
chr1,3127291,3128828,peak_00720,334
chr1,3146007,3147929,peak_04162,304
chr1,3151083,3151235,peak_03065,144
chr1,3174778,3176145,peak_00987,837
chr1,3185000,3185577,peak_00515,688
chr1,3185023,3186527,peak_02497,361
chr1,3195067,3196578,peak_03498,477
chr1,3195947,3197373,peak_03145,69
chr1,3220530,3221991,peak_04682,600
chr1,3227636,3228634,peak_01429,834
chr1,3235577,3237464,peak_04602,81
chr1,3239264,3240313,peak_02279,72
chr1,3258684,3259146,peak_02965,681
chr1,3262247,3263207,peak_02814,271
chr1,3264903,3265571,peak_03367,746
chr1,3268377,3269699,peak_02571,585
chr1,3274409,3275531,peak_02209,615
chr1,3307435,3307811,peak_02656,925
chr1,3315017,3315495,peak_03040,772
chr1,3322622,3322828,peak_02265,358
chr1,3331985,3332139,peak_03192,478
chr1,3366978,3368037,peak_01640,342
chr1,3367121,3368768,peak_01029,347
chr1,3370257,3371802,peak_04525,255
chr1,3375110,3376615,peak_00166,600
chr1,3381118,3383094,peak_04598,403
chr1,3382036,3382417,peak_00679,628
chr1,3387147,3387331,peak_00821,664
chr1,3406905,3407591,peak_01932,864
chr1,3454460,3455241,peak_01952,815
chr1,3456580,3457322,peak_03380,476
chr1,3458029,3459936,peak_02864,624
chr1,3472694,3473117,peak_00844,468
chr1,3480951,3482357,peak_03094,546
chr1,3481387,3483102,peak_01528,471
chr1,3482825,3483334,peak_04453,681
chr1,3507768,3509413,peak_02644,218
chr1,3509213,3510706,peak_01337,297
chr1,3510003,3511893,peak_02285,297
chr1,3519646,3520966,peak_04884,947
chr1,3525927,3526580,peak_02140,202
chr1,3555672,3557046,peak_01629,536
chr1,3557460,3558196,peak_00306,744
chr1,3565694,3567322,peak_00819,952
chr1,3597766,3598293,peak_02584,788
chr1,3600238,3601120,peak_01431,840
chr1,3605805,3606164,peak_03620,973
chr1,3607071,3607176,peak_00833,256
chr1,3613094,3613820,peak_03991,136
chr1,3622116,3622911,peak_01140,19
chr1,3632076,3632400,peak_04004,188
chr1,3637307,3637585,peak_02711,256
chr1,3638385,3639164,peak_03011,276
chr1,3648986,3649365,peak_02668,238
chr1,3686552,3686977,peak_00212,313
chr1,3687176,3687364,peak_01088,501
chr1,3690991,3691191,peak_01644,914
chr1,3695013,3695346,peak_02031,236
chr1,3713164,3713391,peak_03280,230
chr1,3715456,3717273,peak_03733,158
chr1,3717718,3719202,peak_02388,119
chr1,3720392,3721684,peak_01150,824
chr1,3723730,3725717,peak_00159,176
chr1,3737064,3738218,peak_02592,780
